검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,"카카오모빌리티-기아, 자율주행 PBV 개발 협력",https://news.google.com/rss/articles/CBMib0FVX3lxTE5HQkU2U01uTThrWUxscnZpcFc5VXdZdk5aSWJjbjlpMF8tTUZZNDhPaTRPUVF3bW5iajRKbGJrQmxVV1o5YTgxbjhzaXNsdjNxVWU0WDBvNjFvN21ya3ZIU0k2eUdnME4xTEFSMEYtRdIBc0FVX3lxTE1Ic29oR1dvOGVJZDVBa0ZoX3dMVS10dVgyX1htZUdqaGhwRDNYLTVRTnRlTDdDUk9jMzh5RnZtMWVVNTJIRmlyTGROZXY0cmdlMW1kYW5kbHduT21mTXdIWHE5bTRQc0dndWx4Z1Y2bS12R1k?oc=5,뉴스웍스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 자체 AI 모델 '카나나-오' 유튜브 영상 공개…넉살·유병재·조나단 출연",https://news.google.com/rss/articles/CBMia0FVX3lxTE9wcmN4UDJOSUdCSS1ITjQxMFBLMG5CYUNWbnpQcDFhOTl3QWkwc2VyekNjTlkxZk4wM2Y0VWg4WjBCSGE4NTN3UTJVVVNjbXh0ZFEtWmJETDBueG1vZTFtNGNHa2lETU5fNDNZ?oc=5,BBS불교방송,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오모빌리티-기아, 자율주행 전용 차량 개발•핵심 기술 협력 MOU",https://news.google.com/rss/articles/CBMidkFVX3lxTE4zVHZDc3hKX0Q4bU8xZGdaWC1kYXBGV21rQWtobHZrTlZRM2JxQktQcXF1ZHFUa2lseV9MS0xGMFlWeFZzdDZLZHpiUUU0QzZtOV9ORjVOTkExY1ZEU3RKc3pydnFLdTE5cDQ0VmU5T3pHMDR4WkE?oc=5,인포스탁데일리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,넉살·곽범·유병재·조나단이 써본 카카오 AI는?…'카나나 오리지널' 공개,https://news.google.com/rss/articles/CBMieEFVX3lxTE9zWUJ4QlVpQTZxQmpLYk9oTmgyMGpLQnZCS2NFbGdwM3VaRjR4WTM0Rlk2NmVJM09nQUN6YUZ3YmZ6Mk9MOXdqXzVPQXQydTJocDg1cllRLVp2V2dRSjZkdV9SSUt1c3B0MXRrcTlJSmF0c2NNNFNPNdIBeEFVX3lxTE9zWUJ4QlVpQTZxQmpLYk9oTmgyMGpLQnZCS2NFbGdwM3VaRjR4WTM0Rlk2NmVJM09nQUN6YUZ3YmZ6Mk9MOXdqXzVPQXQydTJocDg1cllRLVp2V2dRSjZkdV9SSUt1c3B0MXRrcTlJSmF0c2NNNFNPNQ?oc=5,뉴시스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아 PV5, 카카오모빌리티 자율주행 시범사업에 투입",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9Dc2JxRGN2b0NDZWZ1OHVoeWh1dnJtT2NXdm12MzMwTk54azJqQlNjbF9OU0pqclBYMHJpMEg3Skx6VlFaRG9fRWpieDVuU0pmcDNucXhqbW0zQ3Jh?oc=5,뉴스핌,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"하나투어 AI, 카카오톡 입성…고객 경험·접근성 강화",https://news.google.com/rss/articles/CBMiYkFVX3lxTE5rbTdJdkhHVHpnNTNrNmZwM0lkWFlfM2dkdkRYVGJUYnB5Q2V1MDN2eWwyV3F4RjRfYmFtQy1FUDd3ZElNeV9sSFA1MDAtc21jRDkyS1pJQXQ2MUtxRy1mbUZB?oc=5,디지털데일리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 자율주행 서비스 전용 PBV 개발 ‘맞손’",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE4xNUZOUlVZQzhxLWY3eUYxblJ5akpuWDI3d083TTNBQ2JkNEtFdjdUMExSaEpNbnpuYnRjQWhyaEtYcGxNc1BuQU9XdU54WG1RUDdROHJMV0NEalkzZzlhWVFvRnlKblU?oc=5,기계신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 자체 개발 옴니 AI ‘Kanana-o’ 소개 영상 ‘Kanana-original' 공개",https://news.google.com/rss/articles/CBMiVEFVX3lxTE1KVl9FN0FvaThYekY2VTJlNzN3UVVqSWUyUXhkaHF0b196bXV2c3haclV1MElwQVpFQUdDcFZBNGpoWHpXRjRSM2hqQUtYLWZHaDhsVQ?oc=5,이투데이,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오페이, NH농협은행과 AI 활용 '대안신용평가' 모델 개발 추진",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5tQzZ5LUdtbkg0WmVlX1VTWm12bUJOYmZxa0ZkelBiVGkxUjY2bXB6bUN6QmNqN0NhdTA0ZHk2WWdGSVpvcjhmeERDN3dPZUhWSzdhUktKMmNUYjBfSnFLbVJRUi11ZnM?oc=5,아이티비즈,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 자율주행 전용 PBV 만든다",https://news.google.com/rss/articles/CBMiZEFVX3lxTE5wRGxHNWhfR0hpRTBFbkprSThVQkRUZUdkU0kxQXl3cHBqVWRJQmVIT0NQeWl2aGZfTF9OZHd0V0hQR0hEbzlZVlhjWFhUeV9ESk1ZUU9id2NHZWh6SThpczh6SHg?oc=5,서울경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
